text,cluster
Идея топ. Готовлю попкорн и табличку для прогнозов 😎,-1
**Ага. Тогда давай — сделаем ставки на следующий этап и устроим мини-просмотр!**,-1
"Всё, после этих слов хочу пересмотреть “Drive to Survive”. Опять затянет.",-1
"**Формула — это как шахматы на 300 км/ч. Мозг, риск, нервы и миллисекунды.**",-1
"Ещё и техническая сторона важна — у кого что по шасси, кто на каких шинах, кто рискует.",-1
"**Да, такие моменты и влюбляют в Формулу. Где-то драма, где-то стратегия, где-то чудо.**",-1
Типа Гасли в Италии! Тот подиум был вообще как праздник.,-1
"**А ещё люблю, когда кто-то из середины таблицы внезапно выстреливает. Прям сюрприз.**",-1
"О да, я этот заезд знаю почти наизусть. Там Албон удивил всех на поворотах.",-1
"**Кстати, я недавно пересматривал Гран-при Монако 2019 — какие там были баталии!**",-1
"Согласен. Но всё равно скучаю по временам, когда выигрывали разные в каждой гонке.",-1
"**Ну, зато никто не скажет, что он незаслуженно чемпион. Чисто результат.**",-1
"Он реально робот. Выигрывает стабильно, но как-то сухо. Даже скучно.",-1
"**А как тебе Ферстаппен? По-моему, это уже просто машина без эмоций.**",24
"А я люблю, когда гонщик молчит и делает своё дело. Типа “меньше слов — больше позиций”.",-1
"**Ну и что, зато эмоции! Я обожаю, когда он по радио кричит «Nooooo!».**",-1
"Шарль — красавец, спору нет. Но иногда слишком горячий, срывается.",-1
"**Да, Алонсо как вино — только круче с годами. Хотя я всё же за Леклера.**",-1
"Наверное, всё-таки Алонсо. Чувак железный, опыт, стиль, и при этом до сих пор в форме.",-1
"**Лёня, если серьёзно — кто твой любимый гонщик в Формуле-1? Один-единственный.**",-1
"Отлично! Я тоже — с ракеткой, мячами и хорошим настроением.",18
"**Тогда всё — суббота, 14:45 у корта. Прихожу в боевом духе.**",28
"Всё, всё. Без фанатизма. Играть, отдыхать и шутить.",-1
"**Ага, и табличку с очками распечатаешь, да? Знаю тебя.**",-1
Обещаю! Только пару стратегий расскажу и пару упражнений покажу.,12
"**Только не делай из этого Олимпиаду, а то ты включаешь режим тренера 😄**",-1
Надо будет потом организовать мини-турнир среди друзей. Чисто ради фана.,-1
"**Да-да, я видел — даже чуваки с работы обсуждают, где подешевле поиграть.**",21
"А ты в курсе, что падел теперь везде набирает популярность? Даже в офисе народ играет.",21
"**Всё, тогда играем до седьмого пота, потом мороженое и отдых.**",-1
"Сейчас тоже не супер-форма, но зато с настроем. Главное — кайф, не счёт.",24
"**Ха, да. Мы тогда ещё пытались серьёзно играть, хотя давно не тренировались.**",-1
"Не забуду, в прошлый раз без воды чуть в тень не упал на второй минуте 😅",-1
"**Возьму свою, она как раз лежит в багажнике. А воду и полотенце не забудь!**",-1
"Супер, бронирую. У меня есть мячики и одна норм ракетка, тебе взять свою?",18
**Мне подходит! Давай тогда на 15:00 — как раз не жарко будет.**,28
"Да, есть один хороший в парке у реки. Можно забить на субботу после трёх.",-1
"**Ооо, падел — кайф. Как раз хочу пошевелиться. Ты корт уже нашёл?**",29
"Ваня, у меня идея — пошли на падел в выходные. Ракетки пылятся, форма скучает!",-1
"Договорились. А сейчас — воскресенье, театр, культура. Всё как по классике.",-1
"**Блин, уважаю. Буду готовиться к театральной викторине на второй акт.**",-1
"Ловко, но это Пушкин. Попался не я, а ты!",29
**Ну тогда в антракте устроим блиц-опрос: кто из них писал “Маленькие трагедии”?**,-1
"Эй, между прочим, я умею отличать Чехова от Достоевского!",-1
**Оно и чувствуется — настроение у тебя культурное. Даже не верится 😄**,-1
"Последний раз был с классом, лет десять назад. Но сейчас прям захотелось.",-1
**Ты вообще часто бываешь в театрах или просто так выбрался ради компании?**,-1
"Тогда всё, встречаемся у входа в 16:20, захватим кофе и внутрь?",-1
"**О да, я её видел пару лет назад в “Трёх сестрах” — очень сильная актриса.**",-1
"Ха-ха, главное не уснуть на середине. Хотя с таким кастом вряд ли — Климова в главной роли!",-1
"**Ну, в худшем случае просто посидим красиво, как интеллигенты 😄**",-1
"Ага, это же экспериментальная версия “Грозы” — режиссер любит нестандартные ходы.",-1
"**Ну и атмосфера там крутая. Надеюсь, постановка будет интересной, хотя афиша немного странная.**",20
"Отлично, спасибо тебе! Мне такие места как раз по душе — близко, но не в первом ряду.",17
"**Красавчик! Билеты я взял — шестой ряд, слева от центра. Вид должен быть хороший.**",17
"Привет! Да, иду. Уже даже рубашку выгладил — решил выглядеть по-театральному",-1
"**Лёня, привет! Ты точно идёшь в театр в это воскресенье в 17:00? Мы вроде договаривались.**",25
"Евгений, у меня есть опыт катания на лонгборде, разве он не может помочь мне в обуздании сноуборда?",13
"Да, надо бы вместе съездить зимой покататься, однако сноуборд это достаточно сложно, и многие бросают после первых тренировок , как правило гораздо легче когда человек начинает с лыж и уже привыкши к ним переходит на сноуборд",10
"Евгений, довольно подробный ответ 
Вы невероятно интересная и разносторонняя личность, это круто 

Мне кажется что вы должны научить меня кататься на сноуборде, нужно запланировать поезду на следующую зиму",13
Зимой предпочитаю активный отдых на сноуборде,10
"Летом не прочь поплавать на сапе, полежать на солнышке, люблю гулять",-1
Иногда предпочитаю провести время с друзьями в баре,-1
"У меня скорее по настроению, иногда хочется посидеть дома, посмотреть фильмы или сериалы, поиграть в бравл старс",9
А что любите вы?,-1
"На самом деле, Евгений, я не люблю сидеть дома, лучше придумать что-то активное, сходить в аквапарк, бассейн или поиграть в теннис или падел",9
"Какие виды отдыха вы предпочитаете? Активный или пассивный, а может что-то еще?",-1
"Давайте продолжим деловые беседы в этом чате, пожалуйста, я вас прошу",-1
"Лично меня не устравивает, что не выполняется данное мне обещание",-1
Устраивает ли вас такое время провождения?,23
За кого ты болела?,-1
Сегодня был финал лиги чемпионов,-1
Давай,-1
"Только, если смотрю со своей второй половинкой",-1
Поговорим про футбол?,-1
А тебя интересует такой жанр?,11
Да,27
Тебе нравятся фильмы про любовь ?,1
Катарсис это очень важно,14
"Красивая визуальная подача, возможность отвлечься, катарсис, эмоции",-1
Остров проклятых снял Скорсезе,-1
